estimated,actual,depth
2.0,4.0,5
14.0,19.0,5
1.0,1.0,5
971.0,4.0,5
1.0,1.0,5
11.0,1.0,5
14065.0,319480.0,5
0.0,0.0,5
13.0,46.0,5
70325.0,2220000.0,5
0.0,0.0,5
13.0,64.0,5
1504.0,85941.0,5
0.0,0.0,5
11.0,1.0,5
20.0,933812.0,5
0.0,0.0,5
1.0,0.0,5
1504.0,85941.0,5
0.0,0.0,5
0.0,1.0,5
0.0,0.0,5
173.0,257.0,5
0.0,2.0,5
0.0,0.0,5
2116.0,79324.0,5
0.0,4.0,5
6.0,4011.0,5
235.0,129382.0,5
0.0,4.0,5
11.0,1.0,5
15.0,1.0,5
0.0,22.0,5
1.0,1.0,5
13.0,229.0,5
1.0,1.0,5
1.0,7367.0,5
0.0,1.0,5
146421.0,134170.0,5
146421.0,134170.0,5
4.0,4.0,5
16.0,3.0,5
0.0,1.0,5
4.0,4.0,5
1816.0,661.0,5
1.0,82.0,5
1.0,1.0,5
4539.0,1235.0,5
1.0,89.0,5
1.0,1.0,5
51905.0,1.0,5
30360.0,29997.0,5
0.0,2.0,5
113.0,113.0,5
0.0,6.0,5
30360.0,29997.0,5
0.0,2.0,5
113.0,113.0,5
146421.0,134170.0,5
146421.0,134170.0,5
11.0,1.0,5
4060.0,305.0,5
1.0,1.0,5
32378.0,24024.0,5
259053.0,295625.0,5
1.0,1.0,5
1500000.0,1930000.0,5
4564.0,32983.0,5
0.0,0.0,5
1.0,1.0,5
35055.0,19474.0,5
3570000.0,2730000.0,5
29794.0,101604.0,5
34113.0,86.0,5
35700000.0,36200000.0,6
1.0,1.0,6
1.0,0.0,6
2.0,1.0,6
1687.0,1158.0,6
1.0,1.0,6
789.0,6946.0,6
30360.0,29997.0,6
0.0,0.0,6
60.0,386.0,6
11.0,1.0,6
12180.0,10.0,6
1.0,1.0,6
121.0,4535.0,6
137633.0,459925.0,6
1.0,1.0,6
0.0,1.0,6
15.0,480.0,6
25.0,73.0,6
5.0,39.0,6
11.0,1.0,6
137633.0,459925.0,6
0.0,139.0,6
0.0,1.0,6
81.0,644349.0,6
137.0,83390.0,6
5.0,49.0,6
11.0,1.0,6
11.0,1.0,6
4060.0,454230.0,6
1.0,1.0,6
7.0,7.0,6
46.0,1.0,6
156.0,1.0,6
2.0,1.0,6
11.0,1.0,6
11.0,1.0,6
4060.0,454230.0,6
1.0,1.0,6
7.0,7.0,6
1.0,328.0,6
1.0,328.0,6
1.0,1.0,6
324.0,278.0,6
0.0,0.0,6
1.0,1.0,6
291.0,2485.0,6
291.0,2485.0,6
