label,query,join_buffer_size_bytes,optimistic_count,spill_count,duration_s
1MB,4c,1048576,0,0,8.474527265
1MB,14a,1048576,1,0,30.376300992
1MB,9b,1048576,2,1,33.893589972
1MB,7a,1048576,2,0,3.242746864
1MB,11a,1048576,0,0,1.907757831
1MB,11d,1048576,2,0,4.716648944
1MB,18c,1048576,1,1,47.111006117
1MB,6a,1048576,2,0,4.017383902
1MB,20c,1048576,1,0,244.992080708
1MB,18a,1048576,1,1,56.614901097
1MB,17a,1048576,1,0,0.283573792
1MB,17d,1048576,2,0,0.583238938
1MB,30c,1048576,2,1,61.114389262
1MB,14b,1048576,2,0,15.501660245
1MB,23c,1048576,0,0,16.416806447
1MB,1d,1048576,0,0,3.60369144
1MB,2a,1048576,0,0,0.261662803
1MB,8a,1048576,2,1,32.80495918
1MB,17c,1048576,2,0,0.562961079
1MB,12a,1048576,0,0,15.069296909
1MB,11c,1048576,1,0,6.794491059
1MB,32a,1048576,1,0,0.284616136
1MB,28b,1048576,1,0,18.838988974
1MB,33b,1048576,1,0,6.085428023
1MB,9c,1048576,2,1,42.085035913
1MB,26a,1048576,2,1,77.706342397
1MB,10c,1048576,2,1,43.390793121
1MB,10a,1048576,2,0,34.816575854999996
1MB,29a,1048576,2,0,50.805669653
1MB,16a,1048576,1,0,0.30522435
1MB,19a,1048576,2,1,57.843157626
1MB,14c,1048576,1,0,30.609021914
1MB,6c,1048576,2,0,3.96262699
1MB,15d,1048576,1,0,15.558730712
1MB,22b,1048576,3,0,18.472952173
1MB,15b,1048576,1,0,16.071047826
1MB,28a,1048576,1,0,23.684659457
1MB,9a,1048576,2,1,43.553788901
1MB,12c,1048576,0,0,18.71296797
1MB,5a,1048576,1,0,15.062253043
1MB,29b,1048576,1,0,48.762693466
1MB,31b,1048576,2,0,48.377098308
1MB,6d,1048576,2,0,4.009279808
1MB,19b,1048576,2,1,46.361742751
1MB,24a,1048576,2,1,54.698094041
1MB,33c,1048576,1,0,6.121153299
1MB,1c,1048576,0,0,3.844806841
1MB,8c,1048576,2,1,142.650375408
1MB,16b,1048576,1,0,0.278773786
1MB,13b,1048576,3,0,24.096629534
1MB,6f,1048576,2,2,58.372759932
1MB,1b,1048576,0,0,3.666519675
1MB,20a,1048576,1,1,942.323285453
1MB,16c,1048576,1,0,0.269664691
1MB,13d,1048576,1,0,86.579270773
1MB,30b,1048576,1,0,35.462540907
1MB,21c,1048576,1,0,1.91306859
1MB,26b,1048576,2,1,74.077050403
1MB,3a,1048576,0,0,13.606863519000001
1MB,27c,1048576,1,0,3.46362608
1MB,30a,1048576,2,1,46.677834632
1MB,17f,1048576,2,0,0.57363629
1MB,33a,1048576,1,0,6.077042465
1MB,32b,1048576,1,0,0.270063217
1MB,19d,1048576,3,1,53.360456
1MB,27a,1048576,1,0,3.351761379
1MB,5c,1048576,1,0,15.367794011
1.5MB,9d,1572864,2,1,42.668526874
1.5MB,21a,1572864,1,0,1.89802374
1.5MB,8b,1572864,2,0,30.566413764
1.5MB,25b,1572864,1,0,44.579294064
1.5MB,11b,1572864,0,0,2.009237851
1.5MB,19c,1572864,2,1,55.621149235
1.5MB,25a,1572864,1,0,46.775645475
1.5MB,23a,1572864,0,0,16.15414346
1.5MB,28c,1572864,1,0,20.30893465
1.5MB,2c,1572864,0,0,0.281150489
1.5MB,3b,1572864,0,0,13.018765341
1.5MB,15a,1572864,1,0,16.327495865
1.5MB,26c,1572864,2,0,1198.422827387
1.5MB,22d,1572864,2,0,58.7596363
1.5MB,31c,1572864,1,0,51.373402275
1.5MB,22a,1572864,3,0,19.385294319
1.5MB,7b,1572864,2,0,3.164685834
1.5MB,16d,1572864,1,0,0.30576639
1.5MB,13c,1572864,3,0,22.786569153
1.5MB,15c,1572864,1,0,15.691587524
1.5MB,10b,1572864,3,0,32.972579437
1.5MB,12b,1572864,1,0,13.955133958
1.5MB,1a,1572864,0,0,4.483134558
1.5MB,24b,1572864,2,0,46.36428181
1.5MB,31a,1572864,1,0,53.479306648
1.5MB,25c,1572864,1,1,51.279443611
1.5MB,7c,1572864,2,1,48.864351883
1.5MB,3c,1572864,0,0,13.776221378
1.5MB,5b,1572864,1,0,14.637669806
1.5MB,21b,1572864,0,0,3.314548298
1.5MB,4b,1572864,0,0,2.698888328
1.5MB,18b,1572864,2,0,10.501237271
1.5MB,27b,1572864,1,0,3.3920749
1.5MB,6b,1572864,2,0,4.018500772
1.5MB,13a,1572864,1,0,25.500141509
1.5MB,22c,1572864,2,0,33.172805812
1.5MB,2b,1572864,0,0,0.269375054
1.5MB,8d,1572864,2,1,124.672512128
1.5MB,23b,1572864,1,0,16.255869811
1.5MB,2d,1572864,0,0,0.278807664
1.5MB,4a,1572864,0,0,8.590579713
1.5MB,20b,1572864,1,0,29.780436985
1.5MB,17b,1572864,2,0,0.588174006
1.5MB,29c,1572864,0,0,3147.355673788
1.5MB,17e,1572864,1,0,0.264205109
1.5MB,6e,1572864,2,0,4.068240655
1.5MB,4c,1572864,0,0,10.537547272
1.5MB,14a,1572864,1,0,29.277968899
1.5MB,9b,1572864,2,1,33.942528541
1.5MB,7a,1572864,2,0,3.284552891
1.5MB,11a,1572864,0,0,1.9367278589999999
1.5MB,11d,1572864,2,0,4.712299683
1.5MB,18c,1572864,1,1,47.270711442
1.5MB,6a,1572864,2,0,3.989667308
1.5MB,20c,1572864,1,0,239.709696456
1.5MB,18a,1572864,1,1,60.003725737
1.5MB,17a,1572864,1,0,0.296685334
1.5MB,17d,1572864,2,0,0.5711194
1.5MB,30c,1572864,2,1,57.082750103
1.5MB,14b,1572864,2,0,15.543548771
1.5MB,23c,1572864,0,0,16.365146735
1.5MB,1d,1572864,0,0,3.616625228
1.5MB,2a,1572864,0,0,0.281515224
1.5MB,8a,1572864,2,1,32.715012172
1.5MB,17c,1572864,2,0,0.578650548
1.5MB,12a,1572864,0,0,15.132889571
